content,label,clean_text,label_num
"NEW YORK (Reuters) - Staples Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SPLS.O target=/stocks/quickinfo/fullquote""&gt;SPLS.O&lt;/A&gt;, the top U.S.  office products retailer, on Tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing Chinese market, sending its  shares higher.",Business,"['new', 'york', 'reuter', 'stapl', 'spls', 'o', 'offic', 'product', 'retail', 'tuesday', 'report', 'percent', 'jump', 'quarter', 'profit', 'rais', 'full-year', 'forecast', 'plan', 'enter', 'fast-grow', 'chines', 'market', 'send', 'share', 'higher']",0
"WASHINGTON (Reuters) - U.S. consumer prices dropped in July  for the first time in eight months as a sharp run up in energy  costs reversed, the government said in a report that suggested  a slow rate of interest rate hikes is likely.",Business,"['washington', 'reuter', 'consum', 'price', 'drop', 'juli', 'time', 'month', 'sharp', 'run', 'energi', 'cost', 'revers', 'govern', 'report', 'suggest', 'slow', 'rate', 'rate', 'hike', 'like']",0
"Rising fuel prices, a bugbear for most of the retail sector, are helping Home Depot (HD:NYSE - news - research), the remodeling giant that reported a surge in second-quarter earnings Tuesday and guided the rest of the year higher.",Business,"['rise', 'fuel', 'price', 'bugbear', 'retail', 'sector', 'help', 'home', 'depot', 'hd', 'nyse', 'news', 'research', 'remodel', 'giant', 'report', 'surg', 'second-quart', 'earn', 'tuesday', 'guid', 'rest', 'year', 'higher']",0
Charly Travers offers advice on withstanding the volatility of the biotech sector.,Business,"['char', 'traver', 'offer', 'advic', 'withstand', 'volatil', 'biotech', 'sector']",0
Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...,Business,"['web', 'giant', 'yahoo', 'gambl', 'price', 'cut', 'domain', 'registr', 'web', 'host', 'product', 'make', 'competit', 'discount', 'space', 'mean', 'small', 'busi', 'look', 'onlin', 'sweeter', 'deal']",0
"Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",Business,"['corp', 'agre', 'purchas', 'percent', 'mall', 'general', 'motor', 'asset', 'manag', 'corp', 'just', 'billion', 'creat', 'new', 'joint', 'ventur', 'group', 'deal', 'extend']",0
NEW YORK - The newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicles.,Business,"['new', 'york', 'newli', 'releas', 'traffic', 'crash', 'fatal', 'data', 'someth', 'everyon', 'debat', 'safeti', 'sport', 'util', 'vehicl']",0
TOKYO (Reuters) - The dollar moved in tight ranges on  Wednesday as most investors shrugged off lower-than-expected  U.S. inflation data and stuck to the view the U.S. Federal  Reserve would continue raising rates.,Business,"['tokyo', 'reuter', 'dollar', 'tight', 'rang', 'wednesday', 'investor', 'shrug', 'lower-than-expect', 'inflat', 'data', 'stuck', 'view', 'feder', 'reserv', 'continu', 'rais', 'rate']",0
LONDON (Reuters) - Oil prices surged to a new high of \$47 a  barrel on Wednesday after a new threat by rebel militia against  Iraqi oil facilities and as the United States said inflation  had stayed in check despite rising energy costs.,Business,"['london', 'reuter', 'oil', 'price', 'surg', 'new', 'high', 'barrel', 'wednesday', 'new', 'threat', 'rebel', 'militia', 'iraqi', 'oil', 'facil', 'unit', 'state', 'inflat', 'stay', 'check', 'despit', 'rise', 'energi', 'cost']",0
USATODAY.com - The Securities and Exchange Commission is expected to vote Wednesday to prohibit mutual fund companies from funneling stock trades to brokerage firms that agree to promote their funds to investors.,Business,"['usatoday.com', 'secur', 'exchang', 'commiss', 'expect', 'vote', 'wednesday', 'prohibit', 'mutual', 'fund', 'compani', 'funnel', 'stock', 'trade', 'brokerag', 'firm', 'agre', 'promot', 'fund', 'investor']",0
